Year (AD),CH4 (ppb),CO2 (ppm),N2O (ppb),SO2 (ppb),Global Land and Ocean Temperature Anomalies (Celsius)
372,622.20,276.80,264.1,,
373,622.50,276.80,264.2,,
374,622.70,276.70,264.2,,
375,623.00,276.70,264.2,,
376,623.20,276.70,264.2,,
377,623.50,276.70,264.3,,
378,623.80,276.70,264.3,,
379,624.00,276.70,264.3,,
380,624.30,276.70,264.3,,
381,624.60,276.70,264.3,,
382,624.90,276.60,264.3,,
383,625.20,276.60,264.3,,
384,625.50,276.60,264.3,,
385,625.80,276.60,264.3,,
386,626.10,276.60,264.3,,
387,626.40,276.60,264.3,,
388,626.70,276.60,264.3,,
389,627.00,276.60,264.3,,
390,627.30,276.60,264.3,,
391,627.60,276.60,264.3,,
392,627.90,276.60,264.3,,
393,628.20,276.60,264.3,,
394,628.50,276.60,264.3,,
395,628.80,276.60,264.3,,
396,629.10,276.60,264.3,,
397,629.40,276.70,264.2,,
398,629.70,276.70,264.2,,
399,630.00,276.70,264.2,,
400,630.30,276.70,264.2,,
401,630.60,276.70,264.2,,
402,630.90,276.70,264.1,,
403,631.20,276.70,264.1,,
404,631.40,276.70,264.1,,
405,631.70,276.70,264.1,,
406,632.00,276.70,264,,
407,632.30,276.70,264,,
408,632.50,276.80,264,,
409,632.80,276.80,264,,
410,633.00,276.80,263.9,,
411,633.30,276.80,263.9,,
412,633.50,276.80,263.9,,
413,633.70,276.80,263.9,,
414,634.00,276.80,263.8,,
415,634.20,276.80,263.8,,
416,634.40,276.80,263.8,,
417,634.60,276.80,263.8,,
418,634.80,276.80,263.7,,
419,635.00,276.90,263.7,,
420,635.10,276.90,263.7,,
421,635.30,276.90,263.7,,
422,635.50,276.90,263.6,,
423,635.60,276.90,263.6,,
424,635.70,276.90,263.6,,
425,635.90,276.90,263.6,,
426,636.00,276.90,263.5,,
427,636.10,276.90,263.5,,
428,636.20,276.90,263.5,,
429,636.20,276.90,263.5,,
430,636.30,276.90,263.5,,
431,636.40,276.90,263.5,,
432,636.40,276.90,263.4,,
433,636.40,276.90,263.4,,
434,636.50,276.90,263.4,,
435,636.50,276.90,263.4,,
436,636.50,276.90,263.4,,
437,636.50,276.90,263.4,,
438,636.50,276.90,263.4,,
439,636.50,276.90,263.4,,
440,636.50,276.90,263.4,,
441,636.50,276.90,263.4,,
442,636.50,276.90,263.3,,
443,636.60,276.80,263.3,,
444,636.60,276.80,263.3,,
445,636.60,276.80,263.3,,
446,636.60,276.80,263.3,,
447,636.70,276.80,263.3,,
448,636.70,276.80,263.3,,
449,636.80,276.80,263.3,,
450,636.90,276.80,263.3,,
451,637.00,276.80,263.3,,
452,637.10,276.80,263.3,,
453,637.20,276.80,263.3,,
454,637.30,276.80,263.3,,
455,637.50,276.70,263.3,,
456,637.70,276.70,263.3,,
457,637.90,276.70,263.3,,
458,638.10,276.70,263.2,,
459,638.40,276.70,263.2,,
460,638.60,276.70,263.2,,
461,638.90,276.70,263.2,,
462,639.30,276.70,263.2,,
463,639.60,276.70,263.2,,
464,640.00,276.70,263.2,,
465,640.50,276.70,263.2,,
466,640.90,276.70,263.2,,
467,641.40,276.70,263.1,,
468,641.90,276.70,263.1,,
469,642.40,276.70,263.1,,
470,642.90,276.70,263.1,,
471,643.40,276.70,263.1,,
472,644.00,276.70,263,,
473,644.60,276.70,263,,
474,645.20,276.60,263,,
475,645.80,276.60,263,,
476,646.40,276.60,262.9,,
477,647.00,276.60,262.9,,
478,647.60,276.60,262.9,,
479,648.20,276.60,262.9,,
480,648.90,276.60,262.8,,
481,649.50,276.60,262.8,,
482,650.10,276.60,262.7,,
483,650.80,276.60,262.7,,
484,651.40,276.60,262.7,,
485,652.00,276.60,262.6,,
486,652.60,276.60,262.6,,
487,653.20,276.60,262.5,,
488,653.80,276.60,262.5,,
489,654.40,276.60,262.4,,
490,655.00,276.50,262.4,,
491,655.50,276.50,262.3,,
492,656.00,276.50,262.3,,
493,656.60,276.50,262.2,,
494,657.10,276.50,262.1,,
495,657.50,276.50,262.1,,
496,658.00,276.50,262,,
497,658.40,276.50,261.9,,
498,658.80,276.40,261.8,,
499,659.20,276.40,261.8,,
500,659.50,276.40,261.7,,
501,659.80,276.40,261.6,,
502,660.10,276.30,261.5,,
503,660.30,276.30,261.4,,
504,660.50,276.30,261.3,,
505,660.70,276.30,261.2,,
506,660.90,276.30,261.1,,
507,661.00,276.20,261.1,,
508,661.10,276.20,261,,
509,661.20,276.20,260.9,,
510,661.20,276.10,260.8,,
511,661.30,276.10,260.7,,
512,661.30,276.10,260.6,,
513,661.30,276.10,260.5,,
514,661.20,276.00,260.4,,
515,661.20,276.00,260.3,,
516,661.10,276.00,260.3,,
517,661.00,276.00,260.2,,
518,660.90,276.00,260.1,,
519,660.80,275.90,260.1,,
520,660.70,275.90,260,,
521,660.50,275.90,260,,
522,660.40,275.90,259.9,,
523,660.20,275.90,259.9,,
524,660.00,275.90,259.8,,
525,659.90,275.90,259.8,,
526,659.70,275.90,259.8,,
527,659.50,275.90,259.8,,
528,659.30,275.90,259.8,,
529,659.10,275.90,259.8,,
530,658.90,275.90,259.8,,
531,658.70,275.90,259.8,,
532,658.50,275.90,259.9,,
533,658.30,275.90,259.9,,
534,658.10,275.90,260,,
535,657.80,276.00,260.1,,
536,657.70,276.00,260.1,,
537,657.50,276.00,260.2,,
538,657.30,276.10,260.3,,
539,657.10,276.10,260.5,,
540,656.90,276.10,260.6,,
541,656.70,276.20,260.7,,
542,656.60,276.20,260.9,,
543,656.40,276.30,261.1,,
544,656.30,276.30,261.2,,
545,656.10,276.40,261.4,,
546,656.00,276.40,261.6,,
547,655.80,276.50,261.7,,
548,655.70,276.60,261.9,,
549,655.50,276.60,262.1,,
550,655.40,276.70,262.3,,
551,655.30,276.70,262.5,,
552,655.10,276.80,262.7,,
553,655.00,276.90,262.8,,
554,654.90,276.90,263,,
555,654.70,277.00,263.2,,
556,654.60,277.00,263.4,,
557,654.50,277.10,263.5,,
558,654.30,277.20,263.7,,
559,654.20,277.20,263.9,,
560,654.10,277.30,264,,
561,653.90,277.30,264.1,,
562,653.80,277.40,264.3,,
563,653.70,277.40,264.4,,
564,653.50,277.40,264.5,,
565,653.40,277.50,264.5,,
566,653.20,277.50,264.6,,
567,653.10,277.50,264.7,,
568,652.90,277.60,264.7,,
569,652.70,277.60,264.7,,
570,652.60,277.60,264.7,,
571,652.40,277.60,264.7,,
572,652.20,277.60,264.7,,
573,652.00,277.60,264.6,,
574,651.80,277.60,264.6,,
